plant_id,name,type,latitude,longitude,nearest_river_node_id,snap_distance_m
WTW_node_253787391,Unnamed Facility (253787391),wastewater_plant,51.9549901,-1.2357858,NODE_452399.170000_228326.050000,497.13
WTW_node_262717923,Unnamed Facility (262717923),wastewater_plant,52.2548455,0.2905023,NODE_556238.630000_264409.050000,218.47
WTW_node_322837137,Unnamed Facility (322837137),wastewater_plant,52.0801783,1.2953309,NODE_625913.860000_247364.630000,183.29
WTW_node_342954170,Ferry Lane (Thelwall) Wastewater Pumping Station,wastewater_plant,53.3840298,-2.5255668,NODE_365072.610000_387895.430000,310.79
WTW_node_410656709,Slittercombe,wastewater_plant,50.6416993,-3.4704691,NODE_296272.540000_83604.100000,196.1
WTW_node_413719655,Unnamed Facility (413719655),wastewater_plant,51.8096913,1.0174852,NODE_607968.690000_216816.830000,221.4
WTW_node_426957005,Aldershot STW,wastewater_plant,51.2445559,-0.7375016,NODE_488483.320000_150593.560000,438.47
WTW_node_448707564,Pudsey Smalewell Water Treatment Works,wastewater_plant,53.7913106,-1.6859729,NODE_420896.280000_432665.090000,191.47
WTW_node_471970581,Ravensmoor Wastewater Pumping Station,wastewater_plant,53.0498265,-2.5710047,NODE_361737.190000_350501.390000,105.73
WTW_node_567999554,Unnamed Facility (567999554),wastewater_plant,50.841019,0.0191758,NODE_542343.950000_106899.770000,356.41
WTW_node_725598133,Unnamed Facility (725598133),water_works,51.8317325,-0.0613733,NODE_533788.030000_216339.440000,252.16
WTW_node_771800239,Scottish Water,wastewater_plant,56.1915385,-4.0745372,NODE_271410.550000_701822.210000,49.55
WTW_node_793804116,Lyme Grove wastewater pumping station,wastewater_plant,53.4120291,-2.0818597,NODE_394526.430000_390434.930000,195.39
WTW_node_929533723,Unnamed Facility (929533723),wastewater_plant,50.99463,-4.4902765,NODE_225293.600000_124175.390000,472.73
WTW_node_946304053,Partington Wastewater Trearment Works,wastewater_plant,53.4148021,-2.4446182,NODE_370252.360000_391123.150000,326.18
WTW_node_1026381275,DLC Site,wastewater_plant,54.4334963,-3.0369864,NODE_332926.190000_504613.330000,146.68
